production_budget_usd,worldwide_gross_usd
28000000,82119036
28000000,77477297
28000000,97531134
28000000,60780981
28000000,102053581
28000000,44700159
28000000,91943956
28000000,126549607
28000000,41146935
28000000,33000377
28000000,39536029
28000000,31390587
28000000,38959900
28000000,63129909
28000000,55307857
28000000,62108587
28000000,46752858
28000000,73421224
28000000,38159905
28000000,31320293
28000000,30295028
28000000,39134983
28000000,16638300
28000000,8891623
28000000,8434601
28000000,8165213
28000000,8594558
28000000,5686694
28000000,12031443
27000000,31770413
27000000,55495466
27000000,21500213
27000000,21427947
27000000,27257061
27000000,45160110
27000000,28773827
27000000,13174426
27000000,10618813
27000000,10341093
27000000,8723600
27000000,9352089
27000000,5204007
27000000,4485485
27000000,16566235
27000000,2412123
27000000,1545064
27000000,325943
26700000,3871448
26000000,185904750
